2018-12-18 09:16:37,701 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-12-18 09:16:38,687 [DubboShutdownHook] INFO  com.alibaba.dubbo.config.AbstractConfig$1 (AbstractConfig.java:81) -  [DUBBO] Run shutdown hook now., dubbo version: 2.6.2, current host: 10.0.75.1
2018-12-18 09:16:38,691 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistryFactory (AbstractRegistryFactory.java:64) -  [DUBBO] Close all registries [], dubbo version: 2.6.2, current host: 10.0.75.1
2018-12-18 09:17:55,785 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-12-18 09:17:57,890 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\apusic\.dubbo\dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/com.dubbo.abc.T2:*=empty://172.20.51.113/com.dubbo.abc.T2?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.T2&version=* empty://172.20.51.113/com.dubbo.abc.T2?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.T2&version=* empty://172.20.51.113/com.dubbo.abc.T2?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.T2&version=* empty://172.20.51.113/com.dubbo.abc.T2?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.T2&version=*, */com.alibaba.dubbo.samples.rest.api.UserService:*=empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.UserService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.UserService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.UserService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.UserService&version=*, */com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService:*=empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.facade.AnotherUserRestService&version=*, */com.alibaba.dubbo.samples.http.api.DemoService:*=empty://172.20.51.113/com.alibaba.dubbo.samples.http.api.DemoService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.http.api.DemoService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.http.api.DemoService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.http.api.DemoService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.http.api.DemoService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.http.api.DemoService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.http.api.DemoService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.http.api.DemoService&version=*, */org.apache.dubbo.demo.DemoService:*=empty://172.20.51.113/org.apache.dubbo.demo.DemoService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.demo.DemoService&version=* empty://172.20.51.113/org.apache.dubbo.demo.DemoService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.demo.DemoService&version=* empty://172.20.51.113/org.apache.dubbo.demo.DemoService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.demo.DemoService&version=* empty://172.20.51.113/org.apache.dubbo.demo.DemoService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.apache.dubbo.demo.DemoService&version=*, */com.alibaba.dubbo.demo.DemoService:*=empty://172.20.51.113/com.alibaba.dubbo.demo.DemoService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.demo.DemoService&version=* empty://172.20.51.113/com.alibaba.dubbo.demo.DemoService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.demo.DemoService&version=* empty://172.20.51.113/com.alibaba.dubbo.demo.DemoService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.demo.DemoService&version=* empty://172.20.51.113/com.alibaba.dubbo.demo.DemoService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.demo.DemoService&version=*, */com.dubbo.abc.T1:*=empty://172.20.51.113/com.dubbo.abc.T1?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.T1&version=* empty://172.20.51.113/com.dubbo.abc.T1?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.T1&version=* empty://172.20.51.113/com.dubbo.abc.T1?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.T1&version=* empty://172.20.51.113/com.dubbo.abc.T1?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.T1&version=*, */com.alibaba.dubbo.samples.rest.api.facade.UserRestService:*=empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.facade.UserRestService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.facade.UserRestService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.facade.UserRestService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.facade.UserRestService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.facade.UserRestService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.facade.UserRestService&version=* empty://172.20.51.113/com.alibaba.dubbo.samples.rest.api.facade.UserRestService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.samples.rest.api.facade.UserRestService&version=*, */com.dubbo.abc.Dogs:*=empty://172.20.51.113/com.dubbo.abc.Dogs?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.Dogs&version=* empty://172.20.51.113/com.dubbo.abc.Dogs?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.Dogs&version=* empty://172.20.51.113/com.dubbo.abc.Dogs?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.Dogs&version=* empty://172.20.51.113/com.dubbo.abc.Dogs?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.dubbo.abc.Dogs&version=*}, dubbo version: 2.6.2, current host: 10.0.75.1
2018-12-18 09:18:07,129 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=4544&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D4544%26register.ip%3D10.0.75.1%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1545095877808&timestamp=1545095877845, dubbo version: 2.6.2, current host: 10.0.75.1
2018-12-18 09:18:07,164 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 10.0.75.1
2018-12-18 09:18:07,167 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.0.75.1?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 10.0.75.1
2018-12-18 09:18:08,656 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 10.0.75.1
2018-12-18 09:18:23,566 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 10.0.75.1
2018-12-18 09:18:31,947 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 10.0.75.1
